model,mae,rmse,smape,bias,n,mase
gb,20.85259224782473,32.63585817906799,38.155065103964695,-10.478376854914819,2976,0.7236540774209483
rf,24.032601052603994,32.636776170697495,39.90591458038336,-4.653759462968064,2976,0.8340109246878912
hw,29.81379527142173,36.70848173562734,43.95467187779947,-4.175758887493051,480,1.0346375287613625
naive,30.996549059139788,45.572613169189104,48.60413247751267,3.4566834677419345,2976,1.0756830060284168
