model,mae,rmse,smape,bias,n,mase
gb,23.834518700799734,35.56907661173787,40.71099728144479,-0.53648393427021,2976,0.7441305046079548
rf,28.817543236774785,43.751979666927774,43.39702681954441,7.458971325072479,2976,0.8997040493888074
hw,28.933445263754674,41.36729861133635,46.27033391945844,4.303043010394072,2976,0.9033225925154507
naive,43.437321873991934,67.40592619205542,60.39308482828575,6.653686179771505,2976,1.3561438622138915
