,0
2025-01-06 14:00:00+02:00,93.49
2025-01-06 15:00:00+02:00,106.02
2025-01-06 16:00:00+02:00,119.99
2025-01-06 17:00:00+02:00,106.03
2025-01-06 18:00:00+02:00,106.02
2025-01-06 19:00:00+02:00,106.03
2025-01-06 20:00:00+02:00,93.49
2025-01-06 21:00:00+02:00,55.41
2025-01-06 22:00:00+02:00,55.01
2025-01-06 23:00:00+02:00,30.78
2025-01-07 00:00:00+02:00,19.02
2025-01-07 01:00:00+02:00,20.19
2025-01-07 02:00:00+02:00,6.97
2025-01-07 03:00:00+02:00,5.7
2025-01-07 04:00:00+02:00,4.96
2025-01-07 05:00:00+02:00,5.35
2025-01-07 06:00:00+02:00,5.82
2025-01-07 07:00:00+02:00,27.46
2025-01-07 08:00:00+02:00,36.14
2025-01-07 09:00:00+02:00,37.45
2025-01-07 10:00:00+02:00,34.97
2025-01-07 11:00:00+02:00,34.24
2025-01-07 12:00:00+02:00,34.63
2025-01-07 13:00:00+02:00,33.21
2025-01-07 14:00:00+02:00,33.26
2025-01-07 15:00:00+02:00,29.61
2025-01-07 16:00:00+02:00,31.54
2025-01-07 17:00:00+02:00,22.32
2025-01-07 18:00:00+02:00,22.0
2025-01-07 19:00:00+02:00,17.84
2025-01-07 20:00:00+02:00,7.22
2025-01-07 21:00:00+02:00,5.95
2025-01-07 22:00:00+02:00,5.94
2025-01-07 23:00:00+02:00,5.13
2025-01-08 00:00:00+02:00,4.33
2025-01-08 01:00:00+02:00,3.82
2025-01-08 02:00:00+02:00,3.91
2025-01-08 03:00:00+02:00,6.6
2025-01-08 04:00:00+02:00,6.48
2025-01-08 05:00:00+02:00,5.2
2025-01-08 06:00:00+02:00,12.59
2025-01-08 07:00:00+02:00,11.81
2025-01-08 08:00:00+02:00,36.29
2025-01-08 09:00:00+02:00,51.8
2025-01-08 10:00:00+02:00,59.72
2025-01-08 11:00:00+02:00,63.92
2025-01-08 12:00:00+02:00,71.21
2025-01-08 13:00:00+02:00,71.01
2025-01-08 14:00:00+02:00,76.15
2025-01-08 15:00:00+02:00,83.3
2025-01-08 16:00:00+02:00,108.54
2025-01-08 17:00:00+02:00,136.34
2025-01-08 18:00:00+02:00,144.22
2025-01-08 19:00:00+02:00,132.4
2025-01-08 20:00:00+02:00,133.69
2025-01-08 21:00:00+02:00,99.92
2025-01-08 22:00:00+02:00,91.29
2025-01-08 23:00:00+02:00,75.72
2025-01-09 00:00:00+02:00,46.96
2025-01-09 01:00:00+02:00,31.34
2025-01-09 02:00:00+02:00,29.07
2025-01-09 03:00:00+02:00,28.29
2025-01-09 04:00:00+02:00,28.94
2025-01-09 05:00:00+02:00,30.99
2025-01-09 06:00:00+02:00,43.41
2025-01-09 07:00:00+02:00,70.09
2025-01-09 08:00:00+02:00,153.37
2025-01-09 09:00:00+02:00,163.43
2025-01-09 10:00:00+02:00,155.46
2025-01-09 11:00:00+02:00,146.29
2025-01-09 12:00:00+02:00,146.35
2025-01-09 13:00:00+02:00,133.5
2025-01-09 14:00:00+02:00,126.15
2025-01-09 15:00:00+02:00,129.09
2025-01-09 16:00:00+02:00,134.73
2025-01-09 17:00:00+02:00,136.3
2025-01-09 18:00:00+02:00,138.24
2025-01-09 19:00:00+02:00,141.43
2025-01-09 20:00:00+02:00,130.53
2025-01-09 21:00:00+02:00,120.93
2025-01-09 22:00:00+02:00,102.51
2025-01-09 23:00:00+02:00,99.8
2025-01-10 00:00:00+02:00,69.51
2025-01-10 01:00:00+02:00,68.75
2025-01-10 02:00:00+02:00,58.49
2025-01-10 03:00:00+02:00,54.95
