,"('Fossil Gas', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Aggregated')","('Waste', 'Actual Aggregated')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')",Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore
2024-01-01 00:00:00+01:00,,,,,,,,,,14.0,0.61,372.07,1924.85,4.01,1152.93
2024-01-01 01:00:00+01:00,,,,,,,,,,14.0,0.61,371.16,1567.06,4.01,1202.27
2024-01-01 02:00:00+01:00,,,,,,,,,,14.0,0.61,361.88,1265.86,4.09,1202.22
2024-01-01 03:00:00+01:00,,,,,,,,,,14.0,0.61,355.83,1026.27,4.15,1155.26
2024-01-01 04:00:00+01:00,,,,,,,,,,14.0,0.61,351.16,984.19,4.15,1079.34
2024-01-01 05:00:00+01:00,,,,,,,,,,14.0,0.61,346.74,1068.66,4.13,1163.42
2024-01-01 06:00:00+01:00,,,,,,,,,,14.0,0.61,342.07,1173.51,4.21,1145.48
2024-01-01 07:00:00+01:00,,,,,,,,,,14.0,0.61,351.45,1217.8,4.3,1071.31
2024-01-01 08:00:00+01:00,,,,,,,,,,13.99,0.61,361.06,1196.06,4.19,1081.38
2024-01-01 09:00:00+01:00,,,,,,,,,,14.0,0.61,406.81,1264.4,4.27,1087.49
2024-01-01 10:00:00+01:00,,,,,,,,,,14.0,0.61,455.71,1562.89,4.28,1271.43
2024-01-01 11:00:00+01:00,,,,,,,,,,14.0,0.61,498.87,1952.96,4.27,1298.95
2024-01-01 12:00:00+01:00,,,,,,,,,,14.0,0.61,483.0,2563.79,4.33,1303.79
2024-01-01 13:00:00+01:00,,,,,,,,,,14.0,0.61,491.14,2762.36,4.34,1305.74
2024-01-01 14:00:00+01:00,,,,,,,,,,14.0,0.61,503.84,3223.55,4.35,1298.58
2024-01-01 15:00:00+01:00,,,,,,,,,,14.0,0.82,512.29,3516.69,4.33,1305.4
2024-01-01 16:00:00+01:00,,,,,,,,,,14.0,97.12,515.45,4303.06,4.37,1296.89
2024-01-01 17:00:00+01:00,,,,,,,,,,14.0,157.73,517.14,4997.38,4.38,1294.22
2024-01-01 18:00:00+01:00,,,,,,,,,,14.0,51.98,517.27,4593.23,4.39,1281.09
2024-01-01 19:00:00+01:00,,,,,,,,,,14.0,0.61,526.02,4214.27,4.41,1286.75
2024-01-01 20:00:00+01:00,,,,,,,,,,14.0,0.61,519.7,3162.17,4.41,1275.55
2024-01-01 21:00:00+01:00,,,,,,,,,,14.0,0.61,514.86,2601.34,4.36,1268.95
2024-01-01 22:00:00+01:00,,,,,,,,,,14.0,0.61,501.55,2226.88,4.26,1257.69
2024-01-01 23:00:00+01:00,,,,,,,,,,14.0,0.61,497.06,1925.09,4.29,1257.26
2024-01-02 00:00:00+01:00,,,,,,,,,,14.0,0.61,497.68,1637.58,4.26,1236.43
2024-01-02 01:00:00+01:00,,,,,,,,,,14.0,0.61,498.65,1341.68,4.26,1215.27
2024-01-02 02:00:00+01:00,,,,,,,,,,14.0,0.61,499.83,1255.18,4.27,1145.48
2024-01-02 03:00:00+01:00,,,,,,,,,,14.0,0.61,496.63,1326.17,4.27,1023.76
2024-01-02 04:00:00+01:00,,,,,,,,,,14.0,0.61,498.4,1216.25,4.25,994.86
2024-01-02 05:00:00+01:00,,,,,,,,,,14.0,0.61,492.21,1485.01,4.22,951.4
2024-01-02 06:00:00+01:00,,,,,,,,,,14.0,0.61,481.11,2068.53,4.33,1006.5
2024-01-02 07:00:00+01:00,,,,,,,,,,14.0,0.61,507.97,3236.67,4.38,1004.46
2024-01-02 08:00:00+01:00,,,,,,,,,,14.0,137.68,525.18,4726.63,4.34,980.69
2024-01-02 09:00:00+01:00,,,,,,,,,,14.0,303.13,536.21,5629.15,4.27,972.73
2024-01-02 10:00:00+01:00,,,,,,,,,,14.0,324.77,568.09,6481.24,4.33,951.33
2024-01-02 11:00:00+01:00,,,,,,,,,,14.0,442.63,576.29,6441.76,4.39,950.67
2024-01-02 12:00:00+01:00,,,,,,,,,,14.0,471.35,585.7,6625.97,4.4,927.04
2024-01-02 13:00:00+01:00,,,,,,,,,,14.0,470.89,595.21,6758.38,4.39,899.34
2024-01-02 14:00:00+01:00,,,,,,,,,,14.0,458.79,601.76,6773.67,4.4,944.73
2024-01-02 15:00:00+01:00,,,,,,,,,,14.0,459.49,615.07,7038.12,4.37,894.44
2024-01-02 16:00:00+01:00,,,,,,,,,,14.0,476.01,618.48,7069.99,4.38,866.81
2024-01-02 17:00:00+01:00,,,,,,,,,,14.0,462.18,633.65,7001.22,4.41,854.54
2024-01-02 18:00:00+01:00,,,,,,,,,,14.0,430.02,635.19,6403.03,4.35,774.98
2024-01-02 19:00:00+01:00,,,,,,,,,,14.0,304.43,622.38,5433.16,4.34,683.92
2024-01-02 20:00:00+01:00,,,,,,,,,,14.0,173.65,608.57,4772.36,4.32,638.04
2024-01-02 21:00:00+01:00,,,,,,,,,,14.0,135.6,605.93,4141.2,4.29,615.74
2024-01-02 22:00:00+01:00,,,,,,,,,,14.0,14.45,604.11,3576.1,4.25,642.18
2024-01-02 23:00:00+01:00,,,,,,,,,,14.0,0.78,591.86,3070.6,4.25,609.26
2024-01-03 00:00:00+01:00,,,,,,,,,,14.0,0.78,571.49,2880.45,4.28,613.0
2024-01-03 01:00:00+01:00,,,,,,,,,,14.0,0.77,562.74,3027.48,4.23,663.22
2024-01-03 02:00:00+01:00,,,,,,,,,,14.0,0.78,568.98,3063.21,4.22,701.69
2024-01-03 03:00:00+01:00,,,,,,,,,,14.0,0.78,563.95,2688.39,4.18,684.56
2024-01-03 04:00:00+01:00,,,,,,,,,,14.0,0.78,564.62,2593.22,4.24,701.72
2024-01-03 05:00:00+01:00,,,,,,,,,,14.0,0.78,557.29,3083.28,4.21,732.59
2024-01-03 06:00:00+01:00,,,,,,,,,,14.0,0.78,580.2,3785.66,4.33,734.98
2024-01-03 07:00:00+01:00,,,,,,,,,,14.0,67.97,596.9,4894.28,4.34,786.58
2024-01-03 08:00:00+01:00,,,,,,,,,,14.0,144.12,627.48,5284.21,4.34,786.01
2024-01-03 09:00:00+01:00,,,,,,,,,,14.0,278.66,619.27,5737.09,4.36,777.1
2024-01-03 10:00:00+01:00,,,,,,,,,,14.0,295.25,619.99,5910.72,4.3,817.32
2024-01-03 11:00:00+01:00,,,,,,,,,,14.0,283.78,628.43,5675.81,4.35,860.51
2024-01-03 12:00:00+01:00,,,,,,,,,,14.0,285.25,622.66,5692.37,4.34,874.05
2024-01-03 13:00:00+01:00,,,,,,,,,,14.0,260.72,631.77,5359.48,3.5,892.55
2024-01-03 14:00:00+01:00,,,,,,,,,,14.0,287.75,620.41,5838.49,0.0,892.49
2024-01-03 15:00:00+01:00,,,,,,,,,,14.0,305.6,623.64,6466.71,0.0,917.43
2024-01-03 16:00:00+01:00,,,,,,,,,,14.0,393.73,629.97,7221.32,0.33,938.99
2024-01-03 17:00:00+01:00,,,,,,,,,,14.0,481.78,631.65,7414.35,3.71,931.02
2024-01-03 18:00:00+01:00,,,,,,,,,,14.0,496.6,634.0,7533.7,4.0,882.6
2024-01-03 19:00:00+01:00,,,,,,,,,,14.0,445.85,635.29,7280.29,0.0,870.44
2024-01-03 20:00:00+01:00,,,,,,,,,,14.0,379.24,638.95,6835.59,0.0,913.93
2024-01-03 21:00:00+01:00,,,,,,,,,,14.0,301.86,638.46,6139.09,2.57,889.35
2024-01-03 22:00:00+01:00,,,,,,,,,,14.0,172.45,629.77,5094.78,4.13,828.22
2024-01-03 23:00:00+01:00,,,,,,,,,,14.0,138.55,630.58,4008.42,4.12,744.85
2024-01-04 00:00:00+01:00,,,,,,,,,,14.0,144.35,609.99,3811.88,4.14,712.2
2024-01-04 01:00:00+01:00,,,,,,,,,,14.0,138.12,598.57,3648.34,4.11,707.39
2024-01-04 02:00:00+01:00,,,,,,,,,,14.0,60.81,604.26,3598.45,4.07,710.21
2024-01-04 03:00:00+01:00,,,,,,,,,,14.0,0.78,597.87,3605.2,4.05,663.71
2024-01-04 04:00:00+01:00,,,,,,,,,,14.0,0.78,595.97,3487.9,4.06,789.89
2024-01-04 05:00:00+01:00,,,,,,,,,,14.0,148.43,595.25,3861.06,4.09,860.95
2024-01-04 06:00:00+01:00,,,,,,,,,,14.0,424.95,605.12,5816.1,4.21,882.22
2024-01-04 07:00:00+01:00,,,,,,,,,,14.0,493.51,623.83,7577.67,3.47,983.44
2024-01-04 08:00:00+01:00,,,,,,,,,,14.0,497.21,652.76,7831.29,2.66,976.38
2024-01-04 09:00:00+01:00,,,,,,,,,,14.0,500.27,655.27,7908.1,2.65,970.54
2024-01-04 10:00:00+01:00,,,,,,,,,,14.0,498.82,666.52,8063.57,2.64,986.28
2024-01-04 11:00:00+01:00,,,,,,,,,,14.0,497.9,681.68,7889.55,2.65,977.79
2024-01-04 12:00:00+01:00,,,,,,,,,,14.0,498.52,681.41,7845.93,2.63,948.62
2024-01-04 13:00:00+01:00,,,,,,,,,,14.0,495.86,690.2,7913.07,2.63,911.88
2024-01-04 14:00:00+01:00,,,,,,,,,,14.0,493.78,689.51,8164.66,2.61,882.05
2024-01-04 15:00:00+01:00,,,,,,,,,,14.0,493.29,705.1,8198.2,4.16,744.58
2024-01-04 16:00:00+01:00,,,,,,,,,,14.0,493.42,710.03,8276.68,4.23,746.79
2024-01-04 17:00:00+01:00,,,,,,,,,,14.0,492.92,714.38,8222.69,4.25,758.07
2024-01-04 18:00:00+01:00,,,,,,,,,,14.0,492.83,714.74,8211.55,4.23,740.4
2024-01-04 19:00:00+01:00,,,,,,,,,,14.0,493.14,716.2,8280.12,4.27,685.93
2024-01-04 20:00:00+01:00,,,,,,,,,,14.0,492.14,722.9,8184.81,4.21,839.15
2024-01-04 21:00:00+01:00,,,,,,,,,,14.0,491.86,722.16,8032.46,2.67,916.08
2024-01-04 22:00:00+01:00,,,,,,,,,,14.0,490.66,686.2,7912.37,2.66,935.88
2024-01-04 23:00:00+01:00,,,,,,,,,,14.0,493.04,688.88,7860.44,2.65,977.03
2024-01-05 00:00:00+01:00,,,,,,,,,,14.0,494.92,671.57,7187.94,2.65,957.24
2024-01-05 01:00:00+01:00,,,,,,,,,,14.0,490.85,673.36,7063.13,2.65,948.42
2024-01-05 02:00:00+01:00,,,,,,,,,,14.0,498.73,666.3,6872.2,2.64,942.35
2024-01-05 03:00:00+01:00,,,,,,,,,,14.0,439.9,662.65,6489.03,2.65,926.5
2024-01-05 04:00:00+01:00,,,,,,,,,,14.0,468.49,663.27,6554.73,2.65,951.75
2024-01-05 05:00:00+01:00,,,,,,,,,,14.0,463.64,663.43,6543.21,2.67,946.39
2024-01-05 06:00:00+01:00,,,,,,,,,,14.0,477.05,655.56,6994.93,2.68,917.63
2024-01-05 07:00:00+01:00,,,,,,,,,,14.0,496.06,666.94,7506.0,1.93,905.74
2024-01-05 08:00:00+01:00,,,,,,,,,,14.0,493.62,687.18,7586.8,1.72,858.85
2024-01-05 09:00:00+01:00,,,,,,,,,,14.0,500.86,677.84,7854.01,1.89,836.15
2024-01-05 10:00:00+01:00,,,,,,,,,,14.0,501.55,691.1,8003.59,1.89,776.02
2024-01-05 11:00:00+01:00,,,,,,,,,,14.0,497.2,693.35,7944.47,1.87,660.69
2024-01-05 12:00:00+01:00,,,,,,,,,,14.0,498.1,700.58,7683.74,1.87,544.52
2024-01-05 13:00:00+01:00,,,,,,,,,,14.0,499.29,697.44,7703.41,1.87,454.29
2024-01-05 14:00:00+01:00,,,,,,,,,,14.0,498.77,692.7,7802.66,1.88,405.31
2024-01-05 15:00:00+01:00,,,,,,,,,,14.0,500.29,694.83,7865.55,1.88,376.41
2024-01-05 16:00:00+01:00,,,,,,,,,,14.0,500.54,691.75,7918.91,1.9,397.27
2024-01-05 17:00:00+01:00,,,,,,,,,,14.0,499.74,693.1,7897.39,1.89,382.38
2024-01-05 18:00:00+01:00,,,,,,,,,,14.0,499.65,682.33,7864.6,1.89,378.96
2024-01-05 19:00:00+01:00,,,,,,,,,,14.0,481.66,694.89,7930.78,1.89,390.26
2024-01-05 20:00:00+01:00,,,,,,,,,,14.0,453.39,690.22,7985.77,1.89,378.12
2024-01-05 21:00:00+01:00,,,,,,,,,,14.0,445.02,674.89,7765.54,1.97,359.76
2024-01-05 22:00:00+01:00,,,,,,,,,,14.0,472.66,665.44,7704.92,3.7,320.67
2024-01-05 23:00:00+01:00,,,,,,,,,,14.0,490.98,645.04,7506.45,4.2,299.55
2024-01-06 00:00:00+01:00,,,,,,,,,,14.0,486.21,631.47,7119.77,4.21,279.84
2024-01-06 01:00:00+01:00,,,,,,,,,,14.0,488.29,619.2,7173.22,4.19,221.19
2024-01-06 02:00:00+01:00,,,,,,,,,,14.0,493.65,618.11,6955.24,4.18,156.41
2024-01-06 03:00:00+01:00,,,,,,,,,,14.0,486.71,605.66,6775.0,4.24,106.44
2024-01-06 04:00:00+01:00,,,,,,,,,,14.0,476.72,607.52,6622.17,4.23,86.35
2024-01-06 05:00:00+01:00,,,,,,,,,,14.0,434.95,606.11,6271.47,4.26,94.46
2024-01-06 06:00:00+01:00,,,,,,,,,,14.0,432.87,607.95,6299.74,4.29,103.99
2024-01-06 07:00:00+01:00,,,,,,,,,,14.0,434.03,611.48,6689.35,4.28,123.54
2024-01-06 08:00:00+01:00,,,,,,,,,,14.0,446.66,623.07,6808.98,4.29,104.72
2024-01-06 09:00:00+01:00,,,,,,,,,,14.0,450.91,640.19,7029.34,4.29,83.66
2024-01-06 10:00:00+01:00,,,,,,,,,,14.0,449.04,640.67,7162.83,4.32,66.15
2024-01-06 11:00:00+01:00,,,,,,,,,,14.0,472.32,642.93,7283.3,4.36,40.56
2024-01-06 12:00:00+01:00,,,,,,,,,,14.0,486.69,637.0,7462.9,4.37,63.17
2024-01-06 13:00:00+01:00,,,,,,,,,,14.0,446.41,648.65,7492.82,4.38,67.94
2024-01-06 14:00:00+01:00,,,,,,,,,,14.0,446.91,655.07,7322.3,4.39,46.22
2024-01-06 15:00:00+01:00,,,,,,,,,,14.0,442.94,654.27,7421.07,4.38,48.17
2024-01-06 16:00:00+01:00,,,,,,,,,,14.0,464.87,650.69,7591.35,4.39,43.41
2024-01-06 17:00:00+01:00,,,,,,,,,,14.0,483.74,648.85,7870.23,4.37,53.65
2024-01-06 18:00:00+01:00,,,,,,,,,,14.0,480.76,659.24,7753.62,4.38,45.73
2024-01-06 19:00:00+01:00,,,,,,,,,,14.0,480.05,648.68,7433.31,4.36,58.09
2024-01-06 20:00:00+01:00,,,,,,,,,,14.0,457.81,644.92,7220.53,4.33,103.46
2024-01-06 21:00:00+01:00,,,,,,,,,,14.0,441.08,649.27,7072.9,4.32,120.87
2024-01-06 22:00:00+01:00,,,,,,,,,,14.0,440.3,641.4,6752.34,4.3,101.64
2024-01-06 23:00:00+01:00,,,,,,,,,,14.0,409.06,622.37,6599.39,4.31,103.38
2024-01-07 00:00:00+01:00,,,,,,,,,,14.0,497.33,612.75,6977.77,4.3,87.15
2024-01-07 01:00:00+01:00,,,,,,,,,,14.0,494.55,609.06,6830.21,4.31,89.27
2024-01-07 02:00:00+01:00,,,,,,,,,,14.0,494.21,614.5,6506.21,4.29,71.19
2024-01-07 03:00:00+01:00,,,,,,,,,,14.0,496.73,605.69,6529.26,4.29,83.8
2024-01-07 04:00:00+01:00,,,,,,,,,,14.0,485.17,601.23,6471.53,4.3,73.78
2024-01-07 05:00:00+01:00,,,,,,,,,,14.0,476.67,597.4,6323.15,4.29,77.98
2024-01-07 06:00:00+01:00,,,,,,,,,,14.0,489.52,593.35,6319.75,4.27,123.41
2024-01-07 07:00:00+01:00,,,,,,,,,,14.0,494.41,590.37,6486.74,4.26,112.2
2024-01-07 08:00:00+01:00,,,,,,,,,,14.0,497.59,596.24,6534.6,4.28,151.03
2024-01-07 09:00:00+01:00,,,,,,,,,,14.0,498.72,599.49,6818.69,4.29,198.14
2024-01-07 10:00:00+01:00,,,,,,,,,,14.0,499.48,610.0,7150.75,4.28,180.83
2024-01-07 11:00:00+01:00,,,,,,,,,,14.0,497.08,612.04,7206.89,4.31,161.57
2024-01-07 12:00:00+01:00,,,,,,,,,,14.0,497.93,632.31,7197.28,4.34,126.68
2024-01-07 13:00:00+01:00,,,,,,,,,,14.0,499.13,632.25,7076.03,4.36,99.67
2024-01-07 14:00:00+01:00,,,,,,,,,,14.0,498.56,633.02,6980.15,4.33,91.09
2024-01-07 15:00:00+01:00,,,,,,,,,,14.0,497.92,635.6,7128.33,4.38,61.56
2024-01-07 16:00:00+01:00,,,,,,,,,,14.0,498.8,643.65,7276.72,4.38,60.07
2024-01-07 17:00:00+01:00,,,,,,,,,,14.0,497.84,651.33,7498.68,4.36,55.02
2024-01-07 18:00:00+01:00,,,,,,,,,,14.0,497.1,651.69,7526.8,4.28,51.4
2024-01-07 19:00:00+01:00,,,,,,,,,,14.0,491.05,653.27,7496.07,4.23,46.01
2024-01-07 20:00:00+01:00,,,,,,,,,,14.0,490.6,651.91,7476.04,4.21,42.32
2024-01-07 21:00:00+01:00,,,,,,,,,,14.0,490.87,650.0,7333.58,3.18,33.65
2024-01-07 22:00:00+01:00,,,,,,,,,,14.0,481.71,647.5,7188.06,3.18,20.27
2024-01-07 23:00:00+01:00,,,,,,,,,,14.0,458.57,616.32,7095.6,3.19,9.74
2024-01-08 00:00:00+01:00,,,,,,,,,,14.0,492.45,609.8,6951.72,3.18,5.8
2024-01-08 01:00:00+01:00,,,,,,,,,,14.0,499.49,612.78,6939.63,3.18,5.7
2024-01-08 02:00:00+01:00,,,,,,,,,,14.0,499.99,608.2,6755.51,3.19,4.28
2024-01-08 03:00:00+01:00,,,,,,,,,,14.0,500.12,614.03,6651.53,3.19,15.63
2024-01-08 04:00:00+01:00,,,,,,,,,,14.0,490.91,616.97,6551.63,3.18,21.19
2024-01-08 05:00:00+01:00,,,,,,,,,,14.0,466.77,621.47,6577.37,3.17,52.37
2024-01-08 06:00:00+01:00,,,,,,,,,,14.0,485.31,639.81,7444.3,3.17,107.88
2024-01-08 07:00:00+01:00,,,,,,,,,,14.0,473.12,683.09,7812.21,3.14,119.77
2024-01-08 08:00:00+01:00,,,,,,,,,,14.0,472.99,688.08,7522.88,3.6,188.5
2024-01-08 09:00:00+01:00,,,,,,,,,,14.0,488.95,659.6,7611.38,4.22,287.08
2024-01-08 10:00:00+01:00,,,,,,,,,,14.0,490.82,684.23,7923.39,4.24,265.07
2024-01-08 11:00:00+01:00,,,,,,,,,,14.0,489.41,693.5,7796.72,4.25,242.45
2024-01-08 12:00:00+01:00,,,,,,,,,,14.0,491.18,686.8,7564.47,4.26,239.39
2024-01-08 13:00:00+01:00,,,,,,,,,,14.0,489.93,681.88,7370.73,4.25,192.32
2024-01-08 14:00:00+01:00,,,,,,,,,,14.0,486.92,690.27,7559.67,4.27,263.26
2024-01-08 15:00:00+01:00,,,,,,,,,,14.0,487.89,693.74,7553.02,4.33,329.45
2024-01-08 16:00:00+01:00,,,,,,,,,,14.0,487.99,700.53,7573.54,4.34,348.81
2024-01-08 17:00:00+01:00,,,,,,,,,,14.0,463.89,706.33,7675.73,4.37,372.62
2024-01-08 18:00:00+01:00,,,,,,,,,,14.0,463.73,710.15,7767.01,4.39,385.9
2024-01-08 19:00:00+01:00,,,,,,,,,,14.0,463.55,717.19,7503.38,4.38,431.47
2024-01-08 20:00:00+01:00,,,,,,,,,,14.0,490.33,719.03,7465.84,4.38,476.69
2024-01-08 21:00:00+01:00,,,,,,,,,,14.0,490.94,715.95,7471.27,4.38,522.34
2024-01-08 22:00:00+01:00,,,,,,,,,,14.0,489.91,704.32,7359.82,4.4,504.39
2024-01-08 23:00:00+01:00,,,,,,,,,,14.0,489.34,702.36,6978.62,4.38,545.04
2024-01-09 00:00:00+01:00,,,,,,,,,,14.0,491.97,708.15,6864.47,4.36,570.35
2024-01-09 01:00:00+01:00,,,,,,,,,,14.0,491.01,720.53,6765.31,4.3,539.93
2024-01-09 02:00:00+01:00,,,,,,,,,,14.0,489.12,721.65,6671.47,4.29,529.95
2024-01-09 03:00:00+01:00,,,,,,,,,,14.0,489.06,713.94,6668.67,4.26,567.96
2024-01-09 04:00:00+01:00,,,,,,,,,,14.0,490.56,723.97,6714.1,4.34,562.2
2024-01-09 05:00:00+01:00,,,,,,,,,,14.0,491.72,726.4,6746.6,4.33,575.16
2024-01-09 06:00:00+01:00,,,,,,,,,,14.0,491.15,723.46,7218.91,4.33,602.97
2024-01-09 07:00:00+01:00,,,,,,,,,,14.0,489.38,745.62,7544.45,4.31,587.23
2024-01-09 08:00:00+01:00,,,,,,,,,,14.0,497.6,759.3,7882.77,4.28,549.58
2024-01-09 09:00:00+01:00,,,,,,,,,,14.0,500.66,747.26,7990.33,4.29,500.49
2024-01-09 10:00:00+01:00,,,,,,,,,,14.0,500.72,744.91,7869.88,4.21,371.12
2024-01-09 11:00:00+01:00,,,,,,,,,,14.0,499.62,737.42,7723.83,4.54,300.4
2024-01-09 12:00:00+01:00,,,,,,,,,,14.0,491.03,734.0,7375.91,4.83,240.51
2024-01-09 13:00:00+01:00,,,,,,,,,,14.0,492.95,730.92,7529.32,5.18,232.95
2024-01-09 14:00:00+01:00,,,,,,,,,,14.0,493.56,723.43,7788.49,4.65,189.5
2024-01-09 15:00:00+01:00,,,,,,,,,,14.0,493.54,723.16,7859.93,4.35,126.25
2024-01-09 16:00:00+01:00,,,,,,,,,,14.0,493.33,720.35,8006.95,4.34,80.79
2024-01-09 17:00:00+01:00,,,,,,,,,,14.0,492.74,728.33,7844.35,4.28,74.53
2024-01-09 18:00:00+01:00,,,,,,,,,,14.0,492.33,729.84,7736.38,4.26,55.71
2024-01-09 19:00:00+01:00,,,,,,,,,,14.0,492.9,726.67,7808.06,4.26,59.96
2024-01-09 20:00:00+01:00,,,,,,,,,,14.0,491.64,719.84,7674.15,4.28,61.14
2024-01-09 21:00:00+01:00,,,,,,,,,,14.0,492.88,707.62,7682.78,4.27,54.17
2024-01-09 22:00:00+01:00,,,,,,,,,,14.0,468.6,684.42,7421.05,4.27,47.94
2024-01-09 23:00:00+01:00,,,,,,,,,,14.0,467.08,679.24,7246.34,4.28,8.35
2024-01-10 00:00:00+01:00,,,,,,,,,,14.0,496.55,683.54,7072.07,4.27,2.49
2024-01-10 01:00:00+01:00,,,,,,,,,,14.0,496.44,685.06,6935.92,4.27,2.02
2024-01-10 02:00:00+01:00,,,,,,,,,,14.0,496.43,695.04,6921.18,4.25,1.87
2024-01-10 03:00:00+01:00,,,,,,,,,,14.0,493.38,699.68,6860.13,4.23,1.2
2024-01-10 04:00:00+01:00,,,,,,,,,,14.0,495.07,696.28,6882.13,4.23,1.51
2024-01-10 05:00:00+01:00,,,,,,,,,,14.0,464.45,692.19,6685.48,4.22,3.33
2024-01-10 06:00:00+01:00,,,,,,,,,,14.0,468.02,688.94,6990.28,4.24,2.92
2024-01-10 07:00:00+01:00,,,,,,,,,,14.0,491.07,701.49,7717.24,4.19,9.78
2024-01-10 08:00:00+01:00,,,,,,,,,,14.0,488.12,699.04,7850.62,4.17,14.82
2024-01-10 09:00:00+01:00,,,,,,,,,,14.0,499.91,690.95,7977.5,4.07,40.04
2024-01-10 10:00:00+01:00,,,,,,,,,,14.0,500.22,686.29,7868.15,4.17,82.69
2024-01-10 11:00:00+01:00,,,,,,,,,,14.0,499.82,682.57,7716.81,4.21,138.16
2024-01-10 12:00:00+01:00,,,,,,,,,,14.0,488.73,684.67,7704.85,4.26,229.59
2024-01-10 13:00:00+01:00,,,,,,,,,,14.0,487.36,674.88,7561.68,4.22,291.64
2024-01-10 14:00:00+01:00,,,,,,,,,,13.97,490.15,688.82,7678.58,4.25,344.56
2024-01-10 15:00:00+01:00,,,,,,,,,,14.0,490.16,696.19,7745.39,4.22,331.25
2024-01-10 16:00:00+01:00,,,,,,,,,,14.0,490.2,707.8,8024.34,4.28,362.83
2024-01-10 17:00:00+01:00,,,,,,,,,,14.0,488.99,724.17,7906.81,4.28,491.71
2024-01-10 18:00:00+01:00,,,,,,,,,,14.0,489.72,728.72,7857.66,4.24,502.95
2024-01-10 19:00:00+01:00,,,,,,,,,,14.0,489.89,720.37,7992.72,4.18,442.38
2024-01-10 20:00:00+01:00,,,,,,,,,,14.0,489.24,716.33,7739.52,4.2,376.44
2024-01-10 21:00:00+01:00,,,,,,,,,,14.0,489.27,703.76,7521.05,4.19,310.75
2024-01-10 22:00:00+01:00,,,,,,,,,,14.0,486.95,688.74,7481.2,4.19,172.75
2024-01-10 23:00:00+01:00,,,,,,,,,,14.0,467.65,692.48,7012.13,4.17,124.47
2024-01-11 00:00:00+01:00,,,,,,,,,,14.0,497.56,692.64,7097.1,4.17,138.29
2024-01-11 01:00:00+01:00,,,,,,,,,,14.0,496.53,690.4,6975.53,4.16,143.08
2024-01-11 02:00:00+01:00,,,,,,,,,,14.0,497.57,688.56,6943.32,4.15,205.3
2024-01-11 03:00:00+01:00,,,,,,,,,,14.0,495.74,687.98,6687.93,4.15,323.74
2024-01-11 04:00:00+01:00,,,,,,,,,,14.0,491.6,684.83,6566.49,4.14,512.84
2024-01-11 05:00:00+01:00,,,,,,,,,,14.0,494.78,689.47,6764.07,4.13,750.17
2024-01-11 06:00:00+01:00,,,,,,,,,,14.0,497.66,690.67,7054.51,4.17,912.49
2024-01-11 07:00:00+01:00,,,,,,,,,,14.0,497.86,720.84,7364.29,4.22,945.2
2024-01-11 08:00:00+01:00,,,,,,,,,,13.92,498.46,720.32,7567.75,4.25,773.77
2024-01-11 09:00:00+01:00,,,,,,,,,,14.0,495.96,721.13,7557.03,4.41,651.42
2024-01-11 10:00:00+01:00,,,,,,,,,,13.99,496.71,715.44,7571.3,4.41,541.13
2024-01-11 11:00:00+01:00,,,,,,,,,,14.0,499.91,716.05,7854.44,4.33,481.17
2024-01-11 12:00:00+01:00,,,,,,,,,,14.0,499.14,713.93,7856.58,4.34,525.05
2024-01-11 13:00:00+01:00,,,,,,,,,,14.0,497.65,713.2,7688.17,5.07,557.64
2024-01-11 14:00:00+01:00,,,,,,,,,,14.0,497.63,714.24,7610.87,4.53,634.24
2024-01-11 15:00:00+01:00,,,,,,,,,,14.0,495.87,718.33,7653.32,4.06,679.98
2024-01-11 16:00:00+01:00,,,,,,,,,,14.0,497.48,716.74,7370.0,4.25,731.64
2024-01-11 17:00:00+01:00,,,,,,,,,,14.0,498.1,718.11,7630.61,4.23,735.0
2024-01-11 18:00:00+01:00,,,,,,,,,,14.0,498.08,721.12,7981.59,4.25,683.31
2024-01-11 19:00:00+01:00,,,,,,,,,,14.0,495.85,713.5,8022.92,4.32,609.12
2024-01-11 20:00:00+01:00,,,,,,,,,,14.0,492.44,713.7,7838.65,4.3,638.3
2024-01-11 21:00:00+01:00,,,,,,,,,,14.0,495.98,687.36,7667.98,4.17,730.24
2024-01-11 22:00:00+01:00,,,,,,,,,,14.0,493.18,682.22,7553.67,4.15,861.6
2024-01-11 23:00:00+01:00,,,,,,,,,,14.0,494.48,682.36,7306.08,3.97,924.92
2024-01-12 00:00:00+01:00,,,,,,,,,,14.0,497.42,681.0,7040.68,4.03,943.25
2024-01-12 01:00:00+01:00,,,,,,,,,,14.0,496.88,681.45,6904.66,4.0,1023.61
2024-01-12 02:00:00+01:00,,,,,,,,,,14.0,475.51,681.19,6599.82,4.02,1058.83
2024-01-12 03:00:00+01:00,,,,,,,,,,14.0,472.45,679.65,6477.09,4.07,1015.75
